MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	1024.0137	Sec	11/6/2020 1:27:14 PM
Time	Station 1 Force	Station 1 Displacement
Sec	N	mm
573.01074	32.09428	0.0060957549
574.01074	40.101868	0.0068483516
575.01074	37.987587	0.005724628
576.01074	34.63694	0.0073339711
577.01074	34.696815	0.0054701413
578.01074	37.607628	0.0067419251
579.01074	35.555893	0.0061524808
580.01074	36.854042	0.0046867742
581.01074	34.520203	0.0062490194
582.01074	37.640179	0.0042292573
583.01074	37.457485	0.0071887732
584.01074	33.980808	0.0049417815
585.01074	37.185627	0.008228383
586.01074	36.033752	0.0057202047
587.01074	39.780731	0.0070174891
588.01074	32.69315	0.0067416648
589.01074	36.078159	0.0055031879
590.01074	35.479538	0.0046118335
591.01074	35.860146	0.0068663061
592.01074	36.80381	0.0048608561
593.01074	35.355362	0.0058482285
594.01074	38.276222	0.0049659815
595.01074	35.830814	0.0071926764
596.01074	34.807732	0.0055260868
597.01074	38.867809	0.0047755064
598.01074	37.242691	0.005821947
599.01074	36.555012	0.0081560444
600.01074	36.453342	0.0057717264
601.01074	36.032143	0.0064384532
602.01074	34.957825	0.007513517
603.01074	36.18008	0.007493481
604.01074	37.474968	0.0068912865
605.01074	33.766415	0.0051945774
606.01074	34.61705	0.0063929162
607.01074	34.776787	0.0074341525
608.01074	33.06427	0.0052086287
609.01074	34.558578	0.0069417674
610.01074	37.846134	0.0042623044
611.01074	36.269493	0.0060788412
612.01074	39.483307	0.0078383265
613.01074	36.023506	0.0053030853
614.01074	32.111965	0.0068506934
615.01074	35.639481	0.0063463384
616.01074	37.596176	0.0040746918
617.01074	38.006123	0.0077245487
618.01074	36.277931	0.0056054513
619.01074	37.118717	0.0053481669
620.01074	34.412857	0.0064564077
621.01074	34.735798	0.0061139697
622.01074	35.664242	0.0067117405
623.01074	35.285641	0.0070812409
624.01074	35.854321	0.0057712058
625.01074	31.95323	0.0049943444
626.01074	36.833954	0.0066256104
627.01074	36.367748	0.0061727772
628.01074	33.219437	0.006638621
629.01074	35.250278	0.0055125556
630.01074	35.247265	0.0056057116
631.01074	36.00502	0.0061907321
632.01074	37.658867	0.0053518098
633.01074	35.185982	0.0081177931
634.01074	36.191128	0.0037269841
635.01074	35.333866	0.0053322292
636.01074	38.319424	0.0055651185
637.01074	35.694382	0.0046839123
638.01074	35.92083	0.0081154518
639.01074	40.042744	0.0057438836
640.01074	36.210419	0.0067335982
641.01074	37.18784	0.0061194338
642.01074	32.674065	0.0038686043
643.01074	36.84882	0.007060424
644.01074	33.123795	0.0070804604
645.01074	36.072933	0.0049860175
646.01074	38.013359	0.0061332253
647.01074	37.090992	0.0057285312
648.01074	36.445305	0.0060007777
